id,prompt_tokens,completion_tokens,total_tokens
d9722891fb6339514b235122bd815a2c7b3c3a7f3054937a27b1d6c1d9d25050,1020,211,1231
c06c21bfa48ca89e5db0d9db6f25bcab114318e2f932fb4631140fa88e24744c,1082,249,1331
1ad8e449abf1f6dfff86693ad2f666b90e453984555c084127f0ee570ba1fa07,927,201,1128
c376e278c50e931212a08ea028891401789636b0d5d1a5878fc5592923cbab7a,913,210,1123
a55f32f37ccd9e5ce83fd6ba5264387e0c7f3bc31bb540c65e34d7e44b42974f,1188,285,1473
1d51e3d4d632c97308396e1a3233c39ec45158899043b72f10620c52f1dfbb4b,989,222,1211
4b94c1a58b42112629703b2a6d4e57afece89d9b525aadbfd6eb6211ab8614e4,1623,323,1946
b09a5a038006b5a148f197c5cc793c3d8c7ecdf98e3cb72d626e2dc0173e7383,1134,248,1382
f5062e28119a352482a0eef7e01c7ccd7ba2a12bec0837bffa0425439fe034a3,1032,283,1315
a77150cf0717cd920daae84173f59e4835533aa6836bce2ccb699c22ffa2d09f,1133,324,1457
ca3734351981e305140de954dbc3c2826ac01ed66885d7630100c280313544b3,1622,331,1953
c97dd90c33adf543a8a53476dc357dc965c422525bb9226f75d3fa2753451a17,907,218,1125
b2b7b69e5052ede8cbcb2f3f426c30c5812ebbce5d943c10e6829314297d12dc,1940,440,2380
af1e445b7246f83b7ba54b5e39a987b85bc6493296de128ab8eeab3b17bba86e,1660,554,2214
b7af898992f66b4f53ec306117bc3944e12f428976c837072d506e2742d8aced,963,216,1179
351fdcc25cbec537151260a3c8f9fb992863e4a444c9ce83e271f41f5795566f,1291,216,1507
9ec87a8f9b096d7f7069f8f34108308fccd1634f0bf7d453f77380ee25c5b4de,1008,219,1227
8a9b8012a4f655a4d9e85fb3e98b312614e7c77c34c5fadc0f5ad32c5b28320c,1117,248,1365
6e8b36a5833a58be03218d0c603f2dece2583bac771118672240691215d523da,1109,210,1319
c2b083b92a8010c7ff773be10862bc2f0e2e6fea2c715f92adb8a0fe8666a0c0,1512,372,1884
049c80f26b46f09023f8e031193dde2a346670d888d7d0d3e3a12400952499a4,2362,594,2956
922c3b89d0122159379a5c66fa86298deb0f376c3f8b5557cb33cee973034905,879,208,1087
cef2b8dc2ca14eaefdf672b9c84b355d80a5b7a0f6ebbbda5c67780d95552df2,1869,433,2302
0aca3ad557548c3818ed0076e501512a0601fccc7cfe0de02950aae03b2da209,2125,556,2681
b6d8fc239617f6f6011810ec64f568dbbe747f6fc6a8e1f2403f4703db86fa01,1133,219,1352
6f567bb128a3d99bdda98c4ec829db629416116825a2c6e226c1e82a4a9bf622,1229,539,1768
c47764407ca3cb8f0f7e83738b857bf2ab5dfd2920041beeae138dd000654f64,1406,211,1617
3b937d756df9832e633b6100ddb7c91fe9e7eaf3d19fd0115b4fda541a006bc2,900,213,1113
6c10ec7e5564cc02c3dc88d6346ab58eab1553e00380eea1efdc12abab7afb11,1870,601,2471
1370cf4f4e3091d89be97d987be7b566d9c08873450bc66aa81ee01cad388d0d,1218,373,1591
21dc6b9c5ad2cb5902ae3a1c413f5f1759057a073dc7d7f4fdc98c8f9af0a544,1623,324,1947
d690ddb6d81c8021478f408051e77c5dd8502d74876ad02c703aa2343be9b89f,973,225,1198
23a2514b7e80c40a32cd20a47dfc02b064f51e7ed7101389c6fb754c2843ccd3,1251,209,1460
a1284161933c5cf09102ef311d1027ba62485175dd3f9cbbe2a7ecd1185fb0e8,1799,782,2581
3224d0afbe61c21f73aa9a40f7db3621065fc224a7eaccab951435a725617fd8,906,204,1110
6566a5bfb8f0ce76f68f53e1caa907b23ee47b6915440df562b85d28785e1466,1123,205,1328
b86d5f898908bb40605caefc20d369dce2ff88684b20f32103401446967467ff,1629,556,2185
da42229e85903f40b2555656d446392e89eed17061a6b3c334bfae8dba28becd,1982,676,2658
8831b859dd9053ac73a20734152b3a7628b96c17d03cf27b5a1751be2c1c785b,2395,331,2726
a7d99b8f90e0f1ad072b4b5aa1e3806a35468911ce9b182feaac1364a7f27909,1527,307,1834
d756181ffd7f40dcedaebadf7f5ddc77727f332e98b704574cd98b0ab2c9aceb,1054,214,1268
7c04d27ecfe8603f2d9666babfa5fa3674b6542ac3480d174e2fa1f96f401f79,1097,281,1378
eb0866c51af542e62e5bc45a64edceb99db2d62eb69461bcec662ad57d4879bb,978,210,1188
8e359b7bc2397b1ce47e509d1266881105f2f3c1d123eca6a9b5a27992cf0b2f,1517,296,1813
6d696b36978c45f7c3871ac60b9e874cf8345aec3c99b4ccd714009c793d325f,1338,441,1779
39d721d21ca7fdc8f2b11edfc3984c0b8ab39136d82fd87f4eb24c05260070ec,1054,214,1268
645a62013e4776e1d6bbddf3e8699861a670f39e55482fe157a43a0c0271f78c,1047,216,1263
494ed30be9f0f86a5468658f4136e0b4f37d993e453047226a07da0064a0a88d,1380,1215,2595
8695d2ca6587020e2025079a3df7c57e3b78240008f8ce3107b1d745cca3b414,1000,283,1283
0a3b5a48e16254b108fb1fe694e8e55810b513b5357005279a9f436d8940694e,2006,646,2652
5a9da9340ba206a9d3b0e39920b8c62cd78f1a086413a4164ab28c16ca01bc3e,1058,211,1269
691a904bb7394c59ed1041bf1781d78f8d0f47a689f00f84439a1acd0edd3bcd,1204,210,1414
cd870085641347e8ac7591ac652e45c18449f29ebcab7e53da135c2365f2059b,1169,586,1755
17019bfb3192e503491bf8e584e58450d829b13e326cc968ef8766baa93ec338,1509,293,1802
e109efa600b29e325145f40089a51844fbd3e8a1e7d1fb5feabf704cc1137722,913,208,1121
64316363c3b64cfd22dbb017bae740f0bfc5a5624c829beacbcd3b13fa498365,1156,214,1370
fe0d39ed88c0a781134b13670ad613a79e95bd80a4fb294f7f9a630fc99264e7,2243,669,2912
8219fae32737e0b8f84bb0c15411aa0636a22d400dc0b3af4ce28c5ba44b04ed,1329,360,1689
adbe39be845468b563a3949ffa9b9ef547d4ee23b890934c03f6fe4d99695be7,1425,443,1868
096ff4c2aab6dac1803c5906a8146a5e4f322659da9f850445932f5f854b9f2d,1123,205,1328
1f80e65f97b8c23f961fcc7badedbdb48d012b06ce462f7754b2f80a4e8a0818,1364,533,1897
e78a976360f17e9c6f12cc81221b30618f16fc203a2f014fa4c201f9806bfd45,1347,698,2045
d1a388846d6f5024d795b317dd9787e0b4572a739d78bc851530fa16ed2a8d7b,1547,209,1756
5547cd79f1c239044588292bbe5050f9e93d7f3955ab9c691d25d80877298e3b,1131,201,1332
a9f27a81530584d546fc35b40d8d86195482208527c9c0c741824e5bf799fd3e,1087,285,1372
7d5871755a26e5b9a3062eff2b807602d65ab9bed6e788740eb01a9cf6ddb7b5,2337,316,2653
c0f24951ceb0d121ec80c3548c86455d9e47a66f097436130e60254ede9c3697,1428,254,1682
676c9a05e78ef3e575ff05a05c93011d7c3ff154e6f8bc93ea493dfab88eb62f,1238,208,1446
49ee2c1079a048c06a87c85983f58c01dd7b74147bb86ef6d5e788aeccb13658,1685,893,2578
7c0c13c95f167a53326566a0daf118dd76bc1efc0866a4dc7fe5e94fe1486f7c,2368,1066,3434
f70f7a115688740af71c5717ec987b2bfc59635e0064f6b603b27f28bbd754bb,1127,218,1345
d5b8e2a078cd0169e53e9b3f3868d8a2f9db1a744c026c27e837067baddeb245,1032,204,1236
fb9a8f43a2bff22bc0474d86f8bd123fa5587d682c89493a7c4ef9c8fb6b4ad2,1833,325,2158
97c43db80d3e0af150dacd521eb502ac5ccf58f1b9157a629602560cbc6cd90b,1927,1379,3306
65ccc6287fb998758b63d816ec6c65ac51a18862fcc30f875469df0ff86e9747,1211,139,1350
039ee64e546b0d38ec90f2e105043f8771d3535e49312de7380c5ab7ccdeef4c,994,211,1205
eb16e4280173f4279aed21ef86097749ae35938c11307a10b81cf0ffcce8fe69,1057,524,1581
cc3fad59342a7e83a6d807104b6ac18a1a1617cc899f6d57ab836a70f2aa6992,1008,210,1218
cf14522930ea8f0e6f2c0a350e124f70cc0b49ff9e5d7b2eade6cf522171320b,2171,2142,4313
9894558d5b81976ffe1081eeda2e29f93ebcad8d3fa759d4bf252ebbf910fd92,1776,667,2443
b2ba510d6777b5c78f6ac7f62c34ff1c56291f33054ce41678028315691dffb5,1284,203,1487
861ccfa3da3d2c49f9a084eb937083faa14bf3035f266af3ece618af7929ca37,1123,205,1328
376edbd22793f900aad80707632045b9af1016eac2e591ea500ead83f205743e,1993,539,2532
c31765cc87523a909f415adc5feba6e592f4e0cb24afc4cd1643358b54cd3f5c,2206,1117,3323
2ef9893742c84659d35840a3885dd73a339f324be8ffd88a1c7ff4e9ec56dc5b,1258,205,1463
c8de4a175ae0f4ed63cd1ae39230ca6c84370541dd42dd18438ad2d13130b4c0,1123,677,1800
07e7552b1a6dc5775f8859f1e2c6cd4f576c9a1bfae41fa1bcbb1c3068841498,1314,213,1527
c9b6fa12bbd5100cd6e94fd5b3e1c541458dd2ca0fd8d000b357a03fdff47aa2,1150,588,1738
c33a1a55669266e401a13d28b6e3da2e51e9785ea1db1f97da17cc07da891ecb,1435,210,1645
4e59821488106e15bff161716d6979499bdaf7662a2c791912698f5c72c3a1e6,2153,331,2484
fe092b53b02c0166eaa24b96e92015e02dc2c7b7845c604a4f3dcb89c9321b43,1161,205,1366
b5c15193a7ba457711642766f06fb3c1b119d311c6df77365e8c3a67142f04ad,899,203,1102
e024b772fd2d44c0737ff61a4f71d7433dbb05ed7b142ee9179e518785685056,1265,216,1481
0692152ec098e793e66a5ebbb90e9e1a7867e287c28e15522ec50c5da2e7a42d,904,216,1120
c1889462812355165bc1a6af3dc91d5811a3b4ec7a52d852ab6f159f25ccaaf4,1053,211,1264
0d560bde3287eeed03d7ba1d299f5c1bc5ce88f4055c51337ceb1cac2cd04b72,1419,211,1630
1d81bc46617e2a789a79ecfba317fd6237372fdcc32da31602fef25878857e2f,1750,385,2135
4e2863852b5f26aaf53551034ab9ff6010086f3fbbdfd5eee40d8930ac5ab6df,1286,311,1597
c52714d5628a61eaab1742df8a47e183b84d48e2634007aa1fa3624f6907e9ef,1702,900,2602
cd7e14f6f17b9a5af94b9dabc772c45cc07a70e1bfa9ec96812f1a5cc1577839,1068,212,1280
dada15a5ffa55ec7d74486b343e21bc6999058e642732b32c3052960411ccfe7,1376,847,2223
2eeceb526ce3ba1d805763e85161371d8c84502045b08d37a2a3ee37f811b397,1391,292,1683
5004f5d6ec6556e8e399db5853fd9ddb0ed8bf96e32bbdb2a4a70190883fed5d,2001,309,2310
4abaf9e70eb907412146c31b06963b453fc3f1c99a851639820899247f1e0b2a,2043,315,2358
1f2f4390fd1c6c9d50575c4d7b25b953cf036847a9a2cc123da001d98f033a03,2276,317,2593
9538824f07675307d2d07355e212008cca246e31a290400bcffae9c5739cf663,1038,221,1259
dd9b45d66c4de3ac5c68e946140b21a2fbfa548a45f130d0be27a61ba4b054bb,2272,1203,3475
2a42071fa40d47ed26abe4dec89f230d6e0c790fdeb067c5c2dd4dd33f100eb8,1123,206,1329
a14dc86d9a81bdffb57bd9fc076893c02d9ce09f906d1de713378ec29ef3c828,2238,1165,3403
f36a61df88bf4013c78ddee9d65abd3d496769ac310ddd111a9208c82b8477d5,1049,214,1263
fee455df1d399031d78a5afeb9e596b6e79b3981ca224f7f7971ec5e2bd9377e,1268,443,1711
e48d69395f92cfd483ee746804fdad961981bf195ff305f070db85945ab6ea42,2166,754,2920
d2159db4f0c447d9cdb2173c686bad6f8ecf1e30bdf03f81d6d876fbcc22e9a6,2321,1030,3351
c0c4df4454beba43fe3a7f4646a4b1bf81b667c475c9cc272a52742d41db84bf,1071,515,1586
0e228639323cfc6a89807ad373759d19212ab2e1c7559210df83d73170708d59,2098,710,2808
8b9e7cc6fe6cb703d6b8bffb1a5123c02466f0a3ebbfc731108f14357092e388,1109,210,1319
bb058c384aac26ad898612d2b147389c34979920d437ee4305feb0f48ddcc0af,1239,216,1455
3c4951bd40e2d85b5f009b77cbc3813071e8459144d64eead1da5da409150d94,1758,309,2067
c267af7400c37534e1c90906c59f654e34bea8c7e45e6e8a4bd22d3d2b99470e,2040,553,2593
203eb0db23b21f2ea27aa7a6aec69592b4c98ba36899125fa7d1e8f95f7a8cd9,1079,204,1283
ec648067b51adf83c78685dcc3274c5ee628c59b1fb58554ab2055d96bdbf9e7,1024,217,1241
c535f459756d2bde43e08c2de171f79b3369e432bf4167c9c1b8aee38dc110ee,1339,218,1557
a0c35060028b1d1357f0d6bff7522e38a8e1d540669e7957ce481d9424cad415,1059,253,1312
14d80cad3e7406df11187ba8320a00c4da99ad057ca56e46f59aa9589213f7a6,1123,206,1329
621a7de34cd3f95b3168e42e731ee5b93eddc8f4fafc25f6a223d55aa101ef7e,1418,519,1937
485bfa9c4a87c1a5aa6f7a96d77c605493898cc0b70fb247cfffafe5c54fac56,2300,1209,3509
db4ebef198fed2b3639effe8cc5aa6fdb300d24c960b6419f32caf83c4644172,1119,218,1337
3f608bac7637846561695ea1a2f0ef9668d51b94630b5ea5bce8df7a9db31491,993,302,1295
b638821ef2a7178b50188011b83be5a0b4408ba44dbb75837f92d8fd993cac89,1390,366,1756
ccd91524f334a2cd37fb3ac5c392559d76184b0d08820e916ba50f27e6e13e9b,1095,211,1306
5667bfa0b7ce68c07f2b873892148f935b6949385e258176086afafa01575298,1497,298,1795
213e5a7b36d861ebc4d9dbe7576b13dd4c0d3a95b3e9e1e69364bc6e789e6f38,2144,546,2690
02ff90386628f647b46e756034a4178d719630aa600473cff130d3dceef47a37,2053,1378,3431
62710e40e197bf5a4f726f126284cc2402fac4b5be75e63c2d21ed925d507859,1246,299,1545
6dc94956b80f91cda6450b876d50e3d47b681d208eabcdd9a7590468ccc5113e,1111,208,1319
dc0f53773c7f5ddcaff1bb18348baa8622bb3a1290a207334b345cd20ead0200,955,622,1577
9587e1c3bb98adcae515de9dffcc786b0cbaf15e1de813af0789572386262044,2059,433,2492
a5b52ed75b111c5ee6b0091086e1fa603ec6e5b27ae00f01c853bfa1df6a8ab8,1123,205,1328
ec30ecc5fc6ade2f9693d3a74b74cbd3d6cbe2180f36d14db4e277e806d0e2c2,1565,749,2314
51f069cb75d14676052c0630c6226121c2f4c69f3e8788cc91cb14f7b1ee4630,1520,631,2151
4a5a1c7eab99707ccbc8f9bd7440df8a7ab8799619c6f08f68322b3059a405b9,2307,1366,3673
8fe48491673118f17f1a0589278549e6c6143dbbd9463647236788d0a750227b,1108,220,1328
a11cf033bc7c8f2cfc37a5a326c595b4615da0d0ea6edb9127bc976f5fe2673c,1476,828,2304
6d8acee337b1ff582f4fd6b4375952bf50c11f0ad0c915471bbf51af8fad65ca,1006,211,1217
1641d802e82d53047260b46a27fbb045448baa60cba8c504ce8b10a94befa3de,1114,214,1328
97b1a7586dbb0d79cb6f8a14d1cbef8d266b4a5b13f5ec5bfb6520a61e2382d3,2156,1764,3920
d4e127832f8c491b1be580da1b167497498fd89ba528aa6ddda920b5ab2c34c2,1740,326,2066
9e8d511e4a61decddec5459b7932b54e9ad0b2b7fe7ad565d396c2aea5031e7b,1250,212,1462
8fde2a7276b99f9592c6ec97a8b4947766f06f1e7e56eae1093853670e643392,1622,316,1938
bf6a383a2f2c8accce681de5b06274329847ea0349b1efd975b943667868059e,1513,522,2035
64facc762c7997ebb5113414c86e28959f28e8a65ee3d021643ae918f8a01a17,1455,211,1666
30cb7346d95340cbd79ae894c7d95fee455307be347b010068f1982b51c45136,1875,321,2196
ccc2269b6e834b50486ca8e894e1c7e8f807218c8cd39b9af40c50eb8bf5abf8,1269,211,1480
a497f31e91704b6e2637fa47e7a3be699a35446b604d7bd0802efa39a941237e,1208,817,2025
af987cc4cc1f97b35ffee4ae345af7b207ed6733fb2259c11d1e0d11aa5aa9ce,1868,327,2195
071c747d31ca3900a057e810cc989c1fbbceed41f9d28efb0c250ed5dee3266b,1285,452,1737
ef893e6af80c7bf1684f6e07e53fe24dc27f0c356c19bee4f0dcbb3832b34c6e,2235,1216,3451
9f6c06beb5409c9fbd83574deabea6a93772c939c4321725f8d938094b8784a6,1801,321,2122
