id,prompt_tokens,completion_tokens,total_tokens
c22b046ee955a40fee149d0894d0da02e20b30a60d806d16ae1cb44f1031b63e,1094,200,1294
3518889e78762eefc7aef1e0128699e4d9f11f61e5609fa301f42f3b6ea1317c,1075,203,1278
8a5488b414be3c71e79f8fad92df54dbf9e1b1983567e9914f56979c1df46684,1113,205,1318
d0e08abcb791e3954a32d7763c4d9a6892f4cbf5e60a1ee06c4d37da74401173,1387,209,1596
d4b97df008085d4255b4f5a3da6df1aa2120fbfb565172bd297da9ab30d28591,1239,211,1450
fa7d5815b254ebd5b1639de4274db20d922ff8ce99da7ddbac54ee7c00c0b559,1166,215,1381
82085a1d9a20fdf391b5406b1eed811941ee6f53d82f3a87c3e681bd8a3fe0bf,1577,280,1857
7fe4395a04d8c567425284460be9069922b1cec605a9ae9cdc1a69271c87f25b,1128,290,1418
9e5292443df534603b782c1842a080a82b35109895550157b04e0b8087932333,1195,233,1428
4702bea023859849df879a3451a3b18785065e5035f5332b2a59e7e66d3bfef7,1512,226,1738
a84f2499d7bc66eaa436eab5d62e1df0f0e9595e50a266cd19be10b9ec631cf1,1804,309,2113
20a78ca8fae9868c56eeea7f94e418bd76b534f91d57015f6835320bfc228039,2173,314,2487
7920cd9f7157b0ffd096090415062836712322888ec93873daf422b7c42c14b4,1128,207,1335
20d11002851a6d1908951c19b61d94d8451b0d89ababcd80d1cf769b042ede99,1567,211,1778
d79146723e74535838aa392969becb8d91b5f500017a50d86493c95e3802f7e5,1621,211,1832
7de87ec4a21fe1bc0d7fadf51b87ffa9ef22cb8d1ce02865b0907e215c039b1e,2006,371,2377
aa022ba9852983a3c0ee02c884130d1b0768a9b13d3d1bfc59be5cd9e11ececc,1530,383,1913
691ac8e29ea87f0a76e802cec9bdf2144b8941ecd84020812c995867fbd0b75b,929,210,1139
d7dd96801702666a94efdcd43f5a3fc39b1a83edad29905e809383376cac43c2,991,203,1194
fbe4fbfdc951386740422ce2de579c9ef8eb8878150cda4c79c83d2c741634b1,937,255,1192
47112154124c8a873877b4371b0e4494028ad669e4de3df6c96025cbf5333c5b,1113,205,1318
7ac1ced5ae7f645bde5e504d4a14032462f4996d413befdbb2a9d5d4c918d488,1183,209,1392
f188b5d67eadb835359bd3be7d6a1cbdb389ca65e31261f5ceebddf3bc76f3b3,1400,454,1854
2ef4c71112e39d7bccb795ceff74ef3802ef7dab2e4d49e6a8042b633649f4a3,944,208,1152
c120366ddad86d83c3710ac73c5686f2986dd1a7cf9a35642877a23e38887ac4,1576,210,1786
ff52b4739f981082e45fa63719ccf444acd3ffdd4f3ea8e626b656b2b8cec6cb,1497,429,1926
5db7a48632e4a242f0170757ba53a586983439bd1f58673ca567596bc4e18ba7,1475,378,1853
1f6420e5ff7f1c7a3d1c2ffa396d75208738e960ebf435eafff8ff98260b605a,1414,205,1619
564ff21697c4860968dbb6a878baadf431bdef657ee54b1f482ff8db26871d48,1057,218,1275
2f5424b59d2cc9d3e4d20d8405ac70740a2150401680269a74cc14b81a269b02,970,210,1180
4ca5de8bda5755a171cf0c1b8b55fe21a1ac451249cc802244147c1b8cde4be9,2068,325,2393
54ea251d9a7255ef847d3ab4269d74189d65431df4faf228c77bb399341b3efd,1253,209,1462
a6b102711f86a52f78a18ff2c6e07f7c9694794a9f38d0f06cf42c3ae4f7ef13,1113,205,1318
141d0f39accddae33093a0f5a479e115921524c08e7d0484685006477dc721d4,1518,431,1949
271637c50af6426cb897003f41318826cdf291f824c6c7a2c7092f7135bba49c,1582,214,1796
fda1b362069ee15fad2877ff835a7f036d64930ea4816148c94ed58d6e3c3547,1725,762,2487
72d860cbef61984a9ae368ea315d20459972203e3643de760f1c66aec10bf486,1113,205,1318
6378ad813a861748dc9ad8006df02bd281efd397cc973b96dd3c9ff016fb4780,1311,210,1521
6612382ad2a44bce970086751b7dc291274932eaf8b443827281f85f3bff1d36,2259,570,2829
bd80bb63014a2668d33f5771aa84709246bbeebaddea716869d4d8df528f5bf4,1562,355,1917
3960e61dca6d2a9d6e1bf9d1796d3db96d9b012caa4b948dab7a7cbc009c0893,1548,402,1950
40c869639c5eeab359c9b8e0bccea2367e1e95ce407abeec5856f15a5304b9e4,2202,666,2868
d95321eed2ea1df57c6a2f8bd86d3cdaf5549242a1d9bfcfe288c0e4b771230b,1384,207,1591
ec86b08d19833466c0895342576b759bb9025fb3cd91cb23f08c3e76d5d4084d,1110,215,1325
7ad0dd20475804ca8468a359c4ba99a245e81554bbd10bbf94ee40db42ccce62,1082,252,1334
46046e464e89a64f5eb55c401c19c74b322eba4adddc309fade4ad947c96ff67,1452,478,1930
b428ad7f90ea3e6e2dbfbe87014450591cd665281472b04d0986c4c7c518644a,1097,210,1307
174704abddc113d724b2e140b95ded7fcd5ec7930790ac1ad6baf89e788a2597,1210,294,1504
a26f02c88b301bda05081d1c27cd4e78dd52755ea95526b5e51e695d685cc2ab,1689,806,2495
5ddd96d491fb90b9cb38c51f4696c25d3900907cae7bd94f6dfe13220015a597,1842,322,2164
a54405c6f9a938e522168aba84cb517e48cacf69fe086681a5368cc623c03454,1124,213,1337
3f139273a6a8ab886799eb622e719b42a3112fd1894f974c2325b162aa8c4b29,1932,309,2241
1e74222c0e387beef91d0155db32621f5d8e577572cdd49af39e489ec0b26b31,1215,213,1428
891b6d85549d93931519c23fcc51ba754871ac809aa66de49434d0d35163933b,1460,771,2231
fd80e8041b1e261b9ca9a4b50b357abb0b7ba3318e1f3f75243de340d3105168,1649,429,2078
1d2ead6256dbd399b2e4ec883e9de0fc62a23304d27671cd25730a5c253ffe68,1576,201,1777
9b097dc7b2dc9136022bdf64e4bbc0edad5b6945952ad01215d47b028d7cf40d,1565,281,1846
40354a50aff31298fd4ed582e1ea0d40aded2bb0bae05e454d306a52fba9cce4,1583,206,1789
270e493670f077d6072d6d2162c962c3bfcd348a46f0488cb014c24e938ac21d,1113,205,1318
fa48a732653f8bdf5e7ebeca6f15a6f36788877f0542a817d9d7177f9a8d4d57,1129,253,1382
41d53dcd546e3aa88508013bedfeb3d498f2f64dec96f9e4f2d69b874df84ccf,1207,213,1420
7fdcdccfbd3a474ff37c0c901e8a8aca2c860928685254da97c5353a3e1b9f60,1212,294,1506
1a5a75026bf194b14cbe027ab1069537719f13440184b7ff9cae8652a6ab1899,2141,563,2704
b0f16e0a0582f5be120a21636a5fed1fe12e4c767bff944c30f6dfcf2fc3169e,1025,438,1463
5d4d9d71a6bab8707e5644a2a235039bc9891c67e1a074688b4a3d3d54bb14e1,995,210,1205
c659d31b813c885ddd6c10001b4cdd7debc013d4a9bcba42eb538bf34643e380,927,205,1132
9ed9a91a3f6c64bbc1706dcfa219e08f28eb391570ed683c87bc1b61be1ebf12,1129,208,1337
b1fd47073ad1fde9d7400f903cf2e191a008729688040d82ef34e3c32e4b79aa,1174,210,1384
60ca35342dd298449f4849f586a8169899d004ee959377b8aa593182df8031e9,1229,784,2013
7f418fd8e29c744aaae1e4fda2c85abc81da1414ab6942cc05a00af3dd3018b5,919,206,1125
026c3ff3a01436d0a925c56e719dcb8fc90f375a443cc5eae417d245fd2a1d58,2098,336,2434
147b3ad273937fc928e0946763b14d84e20f70f140adad44f3e2fab679f207e4,1136,210,1346
07d5d362eca6cfbfa394ccf6daf8ce758c03170048b2ba8395ffb3c8ebc3cc5c,1093,206,1299
213b673fd66f74fc6beb537760eaab5c49149844f644b581db7db1fed4136f81,920,199,1119
089644cfb90c8c6129b3b5e67dba9ca825adfff4f5676535cb5bff64a14b6d5e,1093,214,1307
15d169a474afec304b55f66d20bec7ad38035057b7878b541f1ebf99cf8f74f3,1107,284,1391
c5604cc7c25df2c5bc1ff599257ea507fceb223a9986790a5101bfb87e5fc990,2038,543,2581
